tweet_id	reply_id
1039211570163642368	1042928493091147776|
1039211848007122944	1039556669741719552|
1039211904567103489	1039304241112920064|
1039213014581424129	1039242763978584064|
1039213163114246144	1039254254668730368|
1039213578170114049	1039244017203126272|
1039214575466491904	1039556154446241794|
1039216745809149952	1039410914137661441|
1039218847935590400	1039306938704691200|
1039220322636115968	1039366594235957248|
1039220838833299462	1039506387930210304|
1039220998476910593	1039333078211018753|
1039221183076605953	1039551792235925504|
1039221242430218240	1039314864366387200|
1039221487637606401	1039241036898418688|
1039221812469616645	1039399045595377665|
1039222176602312704	1039476577699065856|
1039224323599265794	1039258363933143040|
1039226118988017665	1039315589238542339|
1039226439529390080	1039323457887129600|
1039226771579789313	1039307955940851712|
1039227013289189376	1039250282717306881|
1039227675246780417	1039241640328740865|
1039229180196675584	1039294802360184834|
1039229218876477440	1039589013957619712|
1039229227835555840	1039303028459823104|
1039229232419938306	1039250315135131648|
1039229487207133184	1039533812366143489|
1039229801905700864	1039282100778745857|
1039230254764748800	1039245798880497664|
1039231073958457345	1039341758868586496|
1039231718744567814	1039296485152751619|
1039233014419664896	1039404018458607616|
1039233329663500288	1039245118790946817|
1039234283171328000	1039235888990117894|
1039234558514868224	1040303633999560706|
1039234627943194626	1039236573248798721|
1039234737540411398	1039234739037777921|
1039234843106832384	1039235181486333952|
1039234909569789952	1039235771172044801|
1039235201786937344	1039243013095129090|
1039235354728062976	1039235833436532736|
1039235771172044801	1039236766807609344|
1039235839333679105	1039311058018729986|
1039236126555426816	1039274843567542272|
1039236201507639298	1039237440345653248|
1039237038413897729	1044256515329339392|
1039237452743860224	1039502809501073408|
1039237532725084160	1039954300871561216|
1039237660164976642	1039238574980382720|
1039238199573401601	1039249422536912903|
1039238222256263168	1039239454660210694|
1039238228467802112	1039294363531202560|
